ticker,positive returns
RRC,53
RRD,57
RRGB,64
RS,70
RSG,80
RSSS,55
RTX,66
RUSHA,70
RUTH,75
RVP,66
RVSB,69
RWT,68
RY,73
RYAAY,66
RYN,66
SA,60
SAFM,67
SAFT,66
SAH,63
SAIA,76
SAL,65
SALM,55
SAM,68
SAN,57
SAND,55
SANM,70
SANW,56
SAP,69
SAR,67
SASR,68
SATS,55
SAVA,61
SB,52
SBAC,73
SBCF,73
SBFG,75
SBGI,58
SBH,63
SBLK,55
SBNY,70
SBR,63
SBRA,68
SBS,64
SBSI,66
SBT,17
SBUX,79
SCCO,61
SCHL,67
SCHN,62
SCHW,64
SCI,78
SCKT,56
SCL,69
SCOR,53
SCS,66
SCSC,61
SCU,56
SCVL,67
SCX,54
SEAC,56
SEB,61
SEE,65
SEED,52
SEEL,46
SEIC,77
SELF,64
SEM,65
SENEA,61
SF,68
SFBC,80
SFE,56
SFL,65
SFNC,63
SFST,70
SFUN,55
SGA,50
SGC,76
SGEN,63
SGLB,47
SGMA,61
SGMO,56
SGMS,63
SGOC,53
SGRP,56
SGU,66
SHBI,68
SHEN,68
SHG,58
SHI,60
SHIP,44
SHO,65
SHOO,65
SHW,78
SHYF,61
SID,55
SIEB,58
SIF,51
SIFY,57
SIG,66
SIGA,57
SIGI,70
SILC,69
SIM,56
SIMO,67
SINO,51
SIRI,66
SITC,61
SIVB,78
SIX,72
SJI,57
SJM,65
SJR,71
SJT,55
SJW,67
SKM,68
SKT,59
SKX,70
SKY,58
SKYW,66
SLAB,63
SLB,56
SLCT,61
SLF,73
SLG,69
SLGN,61
SLM,66
SLP,70
SLRC,70
SM,53
SMBC,76
SMBK,65
SMCI,66
SMED,58
SMFG,60
SMG,69
SMIT,55
SMMF,63
SMP,69
SMSI,56
SMTC,67
SMTI,52
SNA,70
SNBR,70
SNCA,53
SNCR,58
SNEX,64
SNFCA,69
SNMP,53
SNN,71
SNOA,50
SNP,54
SNPS,72
SNV,69
SNX,74
SNY,71
SO,76
SOHO,65
SOHU,52
SOL,48
SON,71
SONN,36
SONY,66
SP,60
SPB,72
SPCB,51
SPG,69
SPGI,83
SPH,62
SPNS,72
SPOK,52
SPPI,59
SPR,67
SPRO,48
SPRT,50
SPSC,70
SPTN,69
SPWR,58
SPXC,65
SQBG,48
SQM,60
SR,67
SRCE,72
SRCL,64
SRDX,58
SRE,80
SRGA,61
SRI,66
SRL,52
SRNE,54
SRPT,61
SRT,63
SSB,67
SSBI,74
SSD,69
SSKN,42
SSL,56
SSNC,72
SSP,68
SSRM,63
SSY,66
SSYS,51
ST,66
STAA,65
STAR,68
STBA,68
STC,72
STE,76
STFC,61
STKL,62
STL,68
STLA,67
STLD,67
STM,64
STMP,70
STN,68
STND,73
STNG,59
STON,58
STRA,58
STRL,59
STRM,56
STRR,56
STRS,59
STRT,60
STT,67
STWD,72
STX,72
STXS,49
STZ,73
SU,62
SUI,75
SUMR,49
SUNS,73
SUP,56
SUZ,63
SVA,46
SVBI,64
SVC,62
SVM,50
SVRA,56
SVT,60
SWBI,64
SWIR,59
SWK,75
SWKH,58
SWKS,72
SWM,65
SWN,52
SWX,68
SXI,64
SXT,72
SYBT,70
SYK,75
SYKE,69
SYN,51
SYNA,60
SYNL,56
SYPR,53
SYX,65
SYY,70
T,64
TA,51
TAC,58
TACT,56
TAIT,61
TAK,64
TAL,74
TAOP,54
TAP,62
TARO,63
TAST,59
TATT,49
TAYD,60
TBBK,70
TBI,64
TBNK,66
TCBI,69
TCBK,69
TCF,67
TCFC,63
TCI,63
TCOM,62
TCX,69
TD,68
TDC,61
TDG,82
TDS,60
TDW,49
TDY,76
TECH,68
TECK,54
TEF,51
TEL,74
TELL,54
TEN,59
TENX,49
TEO,57
TER,70
TESS,61
TEVA,56
TEX,65
TFC,74
TFII,73
TFSL,72
TFX,74
TG,62
TGA,53
TGB,51
TGI,59
TGNA,68
TGP,60
TGS,63
TGT,70
TGTX,61
THC,59
THFF,69
THG,75
THM,47
THMO,44
THO,68
THRM,65
THS,68
TILE,62
TIPT,62
TISI,61
TITN,61
TJX,80
TK,61
TKC,60
TKR,69
TLK,64
TM,65
TMDI,46
TMO,76
TMP,70
TMUS,69
TNC,68
TNK,55
TNL,69
TNP,55
TOL,70
TOPS,35
TOT,65
TOWN,69
TPC,61
TPL,71
TPR,60
TPX,70
TR,68
TRC,55
TRCH,49
TREC,56
TREE,75
TREX,68
TRGP,68
TRI,72
TRIB,57
TRIL,54
TRMB,67
TRMK,69
TRN,69
TRNO,70
TRNS,73
TROW,70
TROX,62
TRP,66
TRQ,50
TRS,60
TRST,66
TRT,55
TRTN,68
TRUE,62
TRV,75
TRX,52
TS,57
TSBK,76
TSCO,75
TSEM,62
TSLA,65
TSM,77
TSN,71
TSRI,58
TT,76
TTC,81
TTEC,68
TTEK,74
TTGT,70
TTI,57
TTM,54
TTMI,64
TTNP,40
TTWO,72
TU,78
TUP,62
TV,57
TVC,76
TVTY,57
TWI,56
TWIN,56
TWO,73
TX,59
TXMD,67
TXN,76
TXRH,81
TXT,67
TYL,77
TZOO,53
UAA,69
UAL,66
UAMY,53
UBA,59
UBCP,65
UBFO,69
UBOH,69
UBSI,66
UCBI,68
UCTT,63
UDR,69
UEC,57
UEIC,62
UEPS,58
UFCS,70
UFI,63
UFPI,66
UFPT,70
UFS,59
UG,57
UGI,72
UGP,57
UHAL,70
UHS,64
UHT,72
UIHC,57
UIS,64
UL,75
ULBI,56
ULTA,74
UMBF,72
UMC,63
UMH,67
UMPQ,64
UNAM,58
UNB,67
UNF,71
UNFI,58
UNH,79
UNM,66
UNP,75
UNTY,66
UONE,53
UPS,73
URBN,57
URG,53
URI,75
USAK,53
USAP,56
USAT,61
USAU,38
USB,73
USCR,76
USEG,44
USIO,51
USLM,66
USM,58
USNA,65
USPH,73
UTHR,65
UTI,52
UTL,72
UTMD,72
UTSI,47
UUU,51
UUUU,54
UVE,66
UVSP,67
UVV,63
V,82
VABK,78
VALE,54
VALU,60
VBFC,62
VBIV,50
VC,69
VCEL,56
VECO,63
VEDL,55
VERU,54
VET,62
VFC,74
VFF,48
VG,61
VGR,66
VGZ,50
VHC,65
VHI,54
VIAC,70
VICR,62
VIRC,59
VIRX,54
VIV,62
VIVE,47
VIVO,74
VLGEA,61
VLO,63
VLY,65
VMC,72
VMI,63
VMW,69
VNDA,58
VNO,67
VNRX,51
VOD,64
VOLT,50
VOXX,56
VPG,67
VRA,57
VRME,48
VRNT,66
VRSK,74
VRSN,76
VRTS,73
VRTX,64
VSAT,62
VSEC,64
VSH,65
VTNR,51
VTR,68
VUZI,53
VVI,66
VWTR,61
VZ,64
WAB,67
WABC,66
WAFD,70
WAL,72
WASH,70
WAT,70
WBA,57
WBK,70
WBS,72
WCC,62
WCN,82
WD,65
WDC,64
WDFC,73
WDR,63
WEC,70
WELL,71
WEN,67
WERN,64
WETF,62
WEX,74
WEYS,61
WF,59
WFC,73
WFCF,58
WFG,63
WGO,63
WHG,57
WHLM,56
WHR,65
WILC,54
WINA,72
WIRE,69
WIT,63
WLDN,58
WLFC,65
WLK,67
WLMS,52
WM,78
WMB,68
WMK,68
WMPN,51
WMT,66
WNC,60
WNEB,67
WNS,76
WOR,66
WPC,73
WPP,68
WPRT,52
WRB,77
WRE,62
WRI,68
WRLD,63
WRN,49
WSBC,67
WSBF,72
WSFS,69
WSM,68
WSO,76
WSR,68
WST,78
WSTG,63
WTBA,67
WTFC,72
WTI,55
WTM,76
WTRG,79
WTS,71
WTT,56
WU,66
WVFC,66
WVVI,54
WW,60
WWD,67
WWE,70
WWW,64
WY,63
WYNN,63
WYY,54
X,54
XEC,62
XEL,77
XELB,52
XIN,62
XLNX,67
XOM,60
XOMA,60
XPEL,69
XPER,60
XPL,49
XPO,70
XRAY,62
XRX,61
XTLB,52
XXII,64
Y,68
YELL,50
YORW,71
YPF,55
YTEN,45
YUM,73
ZBH,65
ZBRA,74
ZEUS,60
ZGNX,57
ZION,71
ZIOP,59
ZIXI,59
ZNH,61
ZUMZ,62
ZVO,58
ZYXI,50
