ticker,positive returns
CTIC,43
CTO,60
CTRN,68
CTS,68
CTSH,63
CTXS,69
CUB,58
CUBE,73
CUEN,41
CUK,64
CULP,69
CUTR,65
CUZ,64
CVA,64
CVBF,68
CVCO,68
CVCY,72
CVE,51
CVGI,59
CVGW,73
CVI,65
CVLG,63
CVLT,63
CVLY,65
CVM,47
CVR,65
CVS,67
CVU,55
CVV,52
CVX,63
CW,70
CWBC,66
CWCO,59
CWST,70
CWT,68
CX,61
CXDC,54
CXW,61
CYAN,57
CYBE,62
CYCC,47
CYD,55
CYH,63
CYRN,54
CYRX,64
CYTH,45
CYTK,67
CZNC,62
CZWI,72
D,75
DAC,54
DAIO,59
DAKT,60
DAL,67
DAN,64
DAR,69
DB,53
DBD,53
DBI,60
DCI,67
DCO,66
DCOM,66
DCP,64
DCTH,37
DD,67
DDD,56
DDS,61
DE,69
DECK,65
DEI,76
DENN,66
DEO,71
DFS,71
DG,71
DGICA,61
DGII,64
DGLY,52
DGX,73
DHC,63
DHI,75
DHIL,67
DHR,74
DHT,57
DHX,56
DIN,65
DIOD,63
DIS,68
DISCA,59
DISH,65
DIT,61
DJCO,68
DK,62
DKS,62
DLA,61
DLB,67
DLHC,54
DLR,69
DLTR,72
DLX,66
DMAC,52
DMLP,63
DMRC,55
DNN,54
DOOR,65
DORM,70
DOV,72
DOX,72
DPW,46
DPZ,81
DQ,61
DRD,55
DRE,73
DRH,63
DRI,73
DRQ,59
DRRX,55
DS,62
DSGX,66
DSPG,66
DSS,43
DSWL,61
DSX,50
DTE,75
DUK,73
DVA,65
DVAX,59
DVD,57
DVN,59
DWSN,54
DX,75
DXCM,66
DXPE,67
DXR,45
DXYN,61
DY,68
DYAI,61
DYNT,48
DZSI,54
E,56
EA,66
EAT,71
EBAY,65
EBF,68
EBIX,65
EBMT,61
EBR,53
EBS,72
EBSB,70
EBTC,60
EC,57
ECHO,66
ECL,74
ECOL,73
ECPG,65
ED,71
EDAP,59
EDN,60
EDU,70
EDUC,61
EEFT,73
EFC,69
EFSC,75
EFX,78
EGAN,61
EGBN,64
EGHT,61
EGLE,50
EGO,54
EGOV,61
EGP,79
EGY,56
EHTH,70
EIG,71
EIX,72
EL,74
ELA,51
ELLO,61
ELMD,56
ELP,60
ELS,78
ELSE,56
ELTK,57
ELY,74
EMAN,49
EMCF,66
EME,75
EMKR,56
EML,63
EMN,72
EMR,65
EMX,54
ENB,66
ENDP,52
ENG,53
ENLC,66
ENR,69
ENS,64
ENSG,72
ENSV,53
ENTG,73
ENV,71
ENZ,56
EOG,67
EPAC,58
EPAY,62
EPC,55
EPD,64
EPM,59
EPR,71
EQC,64
EQIX,75
EQR,68
EQS,47
EQT,58
ERF,60
ERIC,67
ERIE,69
ERII,63
ERJ,53
ES,77
ESCA,67
ESE,72
ESEA,50
ESGR,68
ESLT,67
ESP,66
ESS,74
ESSA,63
ESTE,54
ESXB,73
ETH,54
ETN,72
ETR,69
EVBN,72
EVC,59
EVGN,47
EVI,62
EVK,52
EVOL,61
EVR,69
EW,70
EWBC,74
EXAS,66
EXC,63
EXEL,60
EXFO,53
EXK,50
EXLS,71
EXP,70
EXPD,68
EXPE,74
EXPO,67
EXPR,55
EXR,76
EXTR,67
EYPT,52
EZPW,52
F,58
FAF,83
FANH,58
FARM,64
FARO,64
FAST,62
FBC,71
FBIZ,75
FBMS,72
FBNC,69
FBP,64
FC,66
FCAP,70
FCBC,66
FCCO,66
FCCY,61
FCEL,53
FCF,73
FCFS,64
FCN,65
FCNCA,68
FCRD,67
FCX,60
FDBC,75
FDP,66
FDS,73
FDX,74
FE,72
FEIM,58
FELE,65
FERG,64
FFBC,74
FFG,67
FFHL,52
FFIC,65
FFIN,75
FFIV,61
FFNW,62
FGBI,60
FHI,66
FHN,68
FIBK,73
FICO,77
FIS,74
FISI,68
FISV,79
FITB,74
FIX,63
FIZZ,68
FKWL,54
FL,69
FLDM,63
FLEX,75
FLIC,62
FLIR,64
FLL,57
FLNT,58
FLO,68
FLR,58
FLS,64
FLT,73
FLUX,48
FLWS,66
FLXS,66
FLY,59
FMAO,67
FMBH,67
FMBI,68
FMC,73
FMNB,72
FMS,66
FMX,63
FN,70
