symbol,name,sector,industry,positive returns
WTM,White Mountains Insurance Group Ltd,FINANCIAL,INVESTSVCE,76
ACGL,Arch Capital Group Ltd,FINANCIAL,INSURANCE,76
NEWT,Newtek Business Services Corp,FINANCIAL,INVESTSVCE,76
TMO,Thermo Fisher Scientific Inc,HEALTHCARE,MEDDEVICESGEN,76
PNM,PNM Resources Inc.,UTIL,ENERGYUTIL,76
NFLX,Netflix Inc,TECH,INTERNET,76
JNJ,Johnson & Johnson,HEALTHCARE,BIOPHARMAOTHER,76
QCRH,QCR Holdings Inc,FINANCIAL,BANKSUSA,76
RF,Regions Financial Corp,FINANCIAL,BANKSUSA,76
ICLR,Icon PLC,HEALTHCARE,HCAREOUTSOURCE,76
LAD,Lithia Motors Inc.,CYCLICALS,AUTORETAIL,76
PAC,Grupo Aeroportuario Del Pacifico SA,INDUSTRIAL,TRAINTRUCK,76
SAIA,Saia Inc,INDUSTRIAL,TRAINTRUCK,76
LLY,Eli Lilly and Co,HEALTHCARE,BIOPHARMAOTHER,76
FRME,First Merchants Corp,FINANCIAL,BANKSUSA,76
NXST,Nexstar Media Group Inc.,CONSUMERSVCE,MEDIAPUB,76
NVDA,NVIDIA Corporation,TECH,SEMIMFR,76
SGC,Superior Group of Cos Inc,CYCLICALS,APPARELPRODUCTS,76
EXR,Extra Space Storage Inc,FINANCIAL,REIT,76
MPWR,Monolithic Power Systems Inc,TECH,SEMIMFR,76
SMBC,Southern Missouri Bancorp Inc,FINANCIAL,BANKSUSA,76
SO,Southern Co (The),UTIL,ENERGYUTIL,76
DEI,Douglas Emmett Inc,FINANCIAL,REIT,76
STE,Steris Plc,HEALTHCARE,HCAREMISC,76
TDY,Teledyne Technologies Inc.,INDUSTRIAL,MACHINE,76
MMM,3M Co,MATERIALS,MATOTHER,76
