symbol,name,sector,industry
TBI,TrueBlue Inc,BIZSVCE,PROSVCE
TRNS,Transcat Inc,BIZSVCE,PROSVCE
TSRI,TSR Inc,BIZSVCE,PROSVCE
TYL,Tyler Technologies Inc.,BIZSVCE,PROSVCE
UNF,UniFirst Corp,BIZSVCE,BIZSUPPORT
VOLT,Volt Information Sciences Inc.,BIZSVCE,PROSVCE
VRSK,Verisk Analytics Inc,BIZSVCE,PROSVCE
VTNR,Vertex Energy Inc,BIZSVCE,WASTEMGMT
VVI,Viad Corp,BIZSVCE,MKTINGPRINTING
WCN,Waste Connections Inc.,BIZSVCE,WASTEMGMT
WFCF,Where Food Comes From Inc,BIZSVCE,PROSVCE
WLDN,Willdan Group Inc,BIZSVCE,BIZSUPPORT
WM,Waste Management Inc.,BIZSVCE,WASTEMGMT
WNS,WNS (Holdings) Ltd,BIZSVCE,PROSVCE
WPP,WPP PLC,BIZSVCE,MKTINGPRINTING
AGYS,Agilysys Inc,CONSUMERSVCE,HOSPITALITY
AHC,A. H. Belo Corp,CONSUMERSVCE,MEDIAPUB
ARKR,Ark Restaurants Corp.,CONSUMERSVCE,HOSPITALITY
AUD,Audacy Inc,CONSUMERSVCE,MEDIAPUB
BBGI,Beasley Broadcast Group Inc,CONSUMERSVCE,MEDIAPUB
BBQ,BBQ Holdings Inc,CONSUMERSVCE,HOSPITALITY
BDL,Flanigan's Enterprises Inc.,CONSUMERSVCE,HOSPITALITY
BH,Biglari Holdings Inc,CONSUMERSVCE,HOSPITALITY
BJRI,BJ's Restaurants Inc,CONSUMERSVCE,HOSPITALITY
BKNG,Booking Holdings Inc,CONSUMERSVCE,HOSPITALITY
BWL-A,Bowl America Inc,CONSUMERSVCE,HOSPITALITY
BYD,Boyd Gaming Corp,CONSUMERSVCE,HOSPITALITY
CAKE,Cheesecake Factory Inc. (The),CONSUMERSVCE,HOSPITALITY
CBRL,Cracker Barrel Old Country Store Inc,CONSUMERSVCE,HOSPITALITY
CCL,Carnival Corporation & Plc,CONSUMERSVCE,HOSPITALITY
CHDN,Churchill Downs Inc,CONSUMERSVCE,HOSPITALITY
CHH,Choice Hotels International Inc.,CONSUMERSVCE,HOSPITALITY
CIDM,Cinedigm Corp,CONSUMERSVCE,MEDIAPUB
CMG,Chipotle Mexican Grill Inc,CONSUMERSVCE,HOSPITALITY
CMLS,Cumulus Media Inc,CONSUMERSVCE,MEDIAPUB
CNK,Cinemark Holdings Inc,CONSUMERSVCE,HOSPITALITY
CNTY,Century Casinos Inc,CONSUMERSVCE,HOSPITALITY
CPHC,Canterbury Park Holding Corp,CONSUMERSVCE,HOSPITALITY
DENN,Dennys Corp,CONSUMERSVCE,HOSPITALITY
DIN,Dine Brands Global Inc,CONSUMERSVCE,HOSPITALITY
DIS,Walt Disney Co (The),CONSUMERSVCE,MEDIAPUB
DISCA,Discovery Inc,CONSUMERSVCE,MEDIAPUB
DPZ,Domino's Pizza Inc,CONSUMERSVCE,HOSPITALITY
DRI,Darden Restaurants Inc.,CONSUMERSVCE,HOSPITALITY
DS,DRIVE SHACK INC,CONSUMERSVCE,HOSPITALITY
DVD,Dover Motorsports Inc.,CONSUMERSVCE,HOSPITALITY
EAT,Brinker International Inc.,CONSUMERSVCE,HOSPITALITY
EDUC,Educational Development Corp,CONSUMERSVCE,MEDIAPUB
EVC,Entravision Communications Corp.,CONSUMERSVCE,MEDIAPUB
EXPE,Expedia Group Inc,CONSUMERSVCE,HOSPITALITY
FLL,Full House Resorts Inc,CONSUMERSVCE,HOSPITALITY
FUN,Cedar Fair LP,CONSUMERSVCE,HOSPITALITY
