symbol,status (HTTP code),size (kB),speed (kB/s),time
A,200,14902,25.781547491466668,0.5780102999997325
AACG,200,12647,24.794956862356273,0.510063399997307
AAIC,200,13778,24.826759563977756,0.5549656999937724
AAL,200,14394,24.695310413304068,0.58286369999405
AAME,200,13738,23.29985117492564,0.5896174999943469
AAON,200,14379,21.68770102708247,0.6630024999903981
AAP,200,15129,33.251726051474,0.4549838999810163
AAPL,200,15598,44.439847940887745,0.3509912999870721
AAT,200,14571,40.7326794538414,0.35772260001976974
AAU,200,8667,22.975781189045538,0.3772232999908738
AAWW,200,9223,31.204536379435996,0.295566000015242
AB,200,14517,38.08329057343433,0.3811907999916002
ABB,200,14849,39.943231064759516,0.3717525999818463
ABC,200,14836,35.98186645666003,0.41231880002305843
ABCB,200,14487,40.73682274825623,0.35562419999041595
ABCM,200,13066,40.041899040196014,0.3263081999903079
ABEO,200,8292,24.55371287685775,0.3377085999818519
ABEV,200,14412,37.02060664652195,0.38929670001380146
ABG,200,9271,24.536990352446818,0.37783770001260564
ABIO,200,10542,26.117377569608383,0.40363929999875836
ABM,200,14589,27.361723333431566,0.5331900999881327
ABMD,200,9807,26.39825702105671,0.37150179999298416
ABR,200,14239,40.166862156847635,0.3544961999868974
ABT,200,15116,35.55137439448698,0.4251874999899883
ACAD,200,9267,30.263208601201793,0.30621339997742325
ACC,200,14687,38.76844780907656,0.37883900001179427
ACCO,200,14340,37.28481280751242,0.38460700001451187
ACGL,200,11929,37.21285133601962,0.32056129997363314
ACH,200,8859,29.160881563652943,0.3037973999744281
ACHC,200,9427,34.829714212193785,0.27065970000694506
ACHV,200,8757,29.700310739143905,0.29484539999975823
ACIW,200,10655,32.31191689766382,0.32975449998048134
ACLS,200,8737,26.209430055390065,0.3333532999968156
ACM,200,9433,27.21957247033823,0.3465520999743603
ACN,200,15098,41.9699349829788,0.3597336999955587
ACNB,200,14119,40.112994830444094,0.3519807000120636
ACOR,200,10576,40.03385616580487,0.26417639999999665
ACR,200,13946,50.96078584931528,0.27366139998775907
ACRX,200,8313,30.704032042246016,0.27074619999621063
ACTG,200,11234,33.93284172786101,0.33106570001109503
ACU,200,14193,31.963142283850058,0.44404269999358803
ACY,200,8539,21.596835464521117,0.3953820000169799
ADBE,200,10001,29.35854471317563,0.34065040000132285
ADC,200,14574,53.39535313047233,0.2729451000050176
ADES,200,13723,40.18982318774862,0.3414545999839902
ADI,200,14884,41.417949799135336,0.35936110001057386
ADM,200,14796,36.09147564466794,0.4099583000061102
ADMP,200,8441,22.253166745402545,0.3793168000120204
ADP,200,15024,46.97442670314838,0.31983359999139793
ADS,200,15124,31.474288644069592,0.4805192000058014
ADSK,200,9871,32.06296307180481,0.3078629999945406
ADTN,200,14575,38.50915791416169,0.3784813999955077
ADUS,200,8977,24.937281777751707,0.3599831000028644
ADXS,200,9101,26.383120831605954,0.3449554000108037
AE,200,14226,39.56074393020741,0.35959889998775907
AEE,200,14842,38.84793188664767,0.38205380001454614
AEG,200,13958,44.10679165019746,0.3164591999957338
AEGN,200,9229,27.384846557231096,0.3370111999975052
AEHL,200,11615,33.989507877311844,0.34172310002031736
AEHR,200,8213,23.728504078474682,0.34612380000180565
AEIS,200,14537,36.004766289780534,0.40375210001366213
AEL,200,14523,32.79429623550237,0.4428514000028372
AEM,200,14731,35.12422114228604,0.4193972000211943
AEMD,200,8671,27.07030380389186,0.3203141000121832
AEO,200,14980,41.02738262958324,0.3651219999883324
AEP,200,14791,36.65690784800898,0.4034983000019565
AER,200,9411,31.13485916415924,0.30226570001104847
AES,200,14880,40.21540103979369,0.3700074999942444
AEY,200,8169,26.39998448692925,0.3094320000091102
AEZS,200,9131,27.425246604659964,0.3329414000036195
AFG,200,14766,38.09222104655971,0.3876381999871228
AFL,200,14790,38.44643143695649,0.38469109998550266
AG,200,9009,33.028636914921606,0.27276330001768656
AGCO,200,14773,40.69505265765825,0.3630170999967959
AGEN,200,8867,29.21563258520633,0.30350190002354793
AGI,200,14373,52.7978488524192,0.27222700000857003
AGM,200,14413,39.79983276838845,0.362137200019788
AGNC,200,14929,55.270504861979106,0.2701078999962192
AGO,200,14762,32.793535129344576,0.45014969998737797
AGRO,200,8577,23.439671336506454,0.3659180999966338
AGX,200,14319,36.18346906592529,0.3957331999845337
AGYS,200,8783,28.070630731443416,0.31288929999573156
AHC,200,13874,39.35324973343081,0.3525503000128083
AHPI,200,8142,26.182168984617626,0.31097500000032596
AHT,200,13550,42.676385751562826,0.31750580001971684
AIG,200,14987,32.8424101211548,0.45633069999166764
AIKI,200,13018,33.97074361808183,0.38321209998684935
AIM,200,10281,26.11464126817221,0.3936872000049334
AIMC,200,14539,33.17836101760396,0.4382073000015225
AIN,200,14462,32.889672229316304,0.43971249999594875
AINV,200,14351,33.9361406523398,0.42288250001729466
AIR,200,14064,47.49328073382191,0.2961261000018567
AIRI,200,10696,38.067430174112545,0.28097510000225157
AIRT,200,12141,39.298028012335735,0.30894679998164065
AIT,200,14485,36.801713841449796,0.3935957999783568
AIV,200,14763,37.9309724645075,0.3892070000001695
AIZ,200,14808,35.24878385861008,0.42009960001450963
AJG,200,14832,39.93525061484,0.3714011999836657
AJRD,200,14592,37.26489178442856,0.3915749999869149
