symbol,status (HTTP code),size (kB),speed (kB/s),time
A,200,14904,22.634742323411093,0.6584568000398576
AACG,200,12643,21.312418848002984,0.593222200172022
AAIC,200,13778,23.274136144128352,0.5919876000843942
AAL,200,14394,21.410868223838033,0.6722754000220448
AAME,200,13738,23.399853210648864,0.5870976999867707
AAON,200,14379,21.44656874944313,0.6704569000285119
AAP,200,15129,37.96601154238016,0.3984879998024553
AAPL,200,15598,34.75448379669727,0.4488053999375552
AAT,200,14573,39.93778989844339,0.364892499987036
AAU,200,8673,23.5139166749352,0.3688453999347985
AAWW,200,9223,29.308282593618063,0.31468919990584254
AB,200,14521,36.46256153640123,0.39824409992434084
ABB,200,14851,42.255140122497956,0.3514602000359446
ABC,200,14836,31.72127017518409,0.4676988001447171
ABCB,200,14487,30.946869093251056,0.4681249000132084
ABCM,200,13066,31.538545643778424,0.4142867000773549
ABEO,200,8292,21.988378398717284,0.3771083001047373
ABEV,200,14412,30.030198982535353,0.47991689993068576
ABG,200,9269,32.64263413403711,0.2839537998661399
ABIO,200,10542,28.79173839408331,0.3661466999910772
ABM,200,14587,37.285430474673014,0.3912252001464367
ABMD,200,9805,30.93018958424674,0.3170041998382658
ABR,200,14237,42.03448438958945,0.33869810006581247
ABT,200,15124,40.57251128192155,0.3727647000923753
ACAD,200,9267,34.82772732307663,0.2660811000969261
ACC,200,14685,37.61092149282411,0.3904450999107212
ACCO,200,14344,36.781835552824,0.3899751000571996
ACGL,200,11929,36.150160918753485,0.32998469984158874
ACH,200,8859,33.33906609956236,0.26572429994121194
ACHC,200,9427,28.44778080607999,0.3313790999818593
ACHV,200,8761,27.475155211409653,0.31886990019120276
ACIW,200,10655,31.746797902880083,0.3356244000606239
ACLS,200,8735,30.159668429005375,0.2896251999773085
ACM,200,9433,27.402266313853136,0.34424160001799464
ACN,200,15108,34.25942009191421,0.4409882000181824
ACNB,200,14117,33.942276251010455,0.41591199999675155
ACOR,200,10574,26.609397996588598,0.3973783999681473
ACR,200,13946,40.711639221733485,0.3425555999856442
ACRX,200,8317,28.271047186149328,0.2941878999117762
ACTG,200,11232,37.878698457242535,0.29652550001628697
ACU,200,14195,42.39264760675883,0.33484579995274544
ACY,200,8539,24.882682188617306,0.34317040001042187
ADBE,200,10001,31.231243596043225,0.3202242001425475
ADC,200,14574,33.70838751845003,0.4323553000576794
ADES,200,13719,45.6574047335674,0.30047699995338917
ADI,200,14884,35.90497965548126,0.4145386000163853
ADM,200,14800,36.26297321199269,0.40812979987822473
ADMP,200,8439,27.217031896697808,0.3100631998386234
ADP,200,15024,36.78147412357979,0.4084664999973029
ADS,200,15124,37.07646075331478,0.4079138000961393
ADSK,200,9869,25.629918418523097,0.38505779998376966
ADTN,200,14575,33.258874540512366,0.43822889984585345
ADUS,200,8975,28.842467421812692,0.31117310002446175
ADXS,200,9103,30.023641605218412,0.30319439992308617
AE,200,14226,47.09119361814637,0.30209469981491566
AEE,200,14840,38.670163300884134,0.38375840010121465
AEG,200,13960,37.73066789343527,0.36999080004170537
AEGN,200,9229,25.990110858624664,0.3550966000184417
AEHL,200,11611,33.60406248212958,0.34552369988523424
AEHR,200,8213,27.51586024088857,0.29848239989951253
AEIS,200,14535,34.7733096000442,0.4179930000100285
AEL,200,14523,36.6811803365667,0.3959251001942903
AEM,200,14729,42.594637790376446,0.3457947000861168
AEMD,200,8671,27.681561497183075,0.3132409998215735
AEO,200,14978,39.31143829503624,0.38100870000198483
AEP,200,14793,35.21842662273883,0.4200357999652624
AER,200,9411,25.176773801757943,0.37379690003581345
AES,200,14882,37.56652142529464,0.39615059993229806
AEY,200,8173,28.735217950165218,0.2844245000742376
AEZS,200,9135,31.538890728457776,0.28964239987544715
AFG,200,14770,35.644919637944675,0.41436480008997023
AFL,200,14788,32.89876177256048,0.449500200105831
AG,200,9011,27.59291824430982,0.3265693001449108
AGCO,200,14773,33.641127753625746,0.4391350999940187
AGEN,200,8867,28.220815546284708,0.31420070002786815
AGI,200,14371,37.33666994489815,0.3849030998535454
AGM,200,14411,38.604887780158805,0.3732946999371052
AGNC,200,14929,40.3482233792238,0.37000389979220927
AGO,200,14762,37.03425883392496,0.39860389987006783
AGRO,200,8577,28.706442903402664,0.29878309997729957
AGX,200,14321,49.128240442039115,0.2915024000685662
AGYS,200,8781,25.27117371468321,0.3474709999281913
AHC,200,13874,36.00193269531812,0.38536820001900196
AHPI,200,8142,25.23324167059336,0.3226696001365781
AHT,200,13546,35.07831507834737,0.386164499912411
AIG,200,14989,33.578915605020555,0.446381299989298
AIKI,200,13018,37.55180032595597,0.34666779986582696
AIM,200,10283,35.31898888952559,0.2911465000361204
AIMC,200,14539,40.67782761875349,0.35741830011829734
AIN,200,14462,33.65339977719264,0.4297336998861283
AINV,200,14351,39.321503379792844,0.364965699845925
AIR,200,14064,38.02478748868348,0.3698640000075102
AIRI,200,10696,30.529444380290194,0.3503503000829369
AIRT,200,12141,40.763907792226426,0.297836999874562
AIT,200,14485,27.75974187866073,0.5217987999785691
AIV,200,14761,28.281413188092476,0.5219328999519348
AIZ,200,14808,32.996630159727964,0.4487730998080224
AJG,200,14834,29.47650881869123,0.5032481998205185
AJRD,200,14590,30.847296366081558,0.47297500004060566
AKAM,200,9577,22.561610963682753,0.42448209994472563
AKO-A,200,13997,42.54170665530777,0.32901829993352294
AKR,200,14642,33.866887547152146,0.4323396999388933
ALB,200,14889,36.9385991477981,0.40307430014945567
ALBO,200,10498,32.39442572037025,0.3240681001916528
ALCO,200,14274,37.866066494717764,0.3769602000247687
ALE,200,14520,36.607779917832104,0.39663699991069734
ALG,200,14569,34.091063312096765,0.42735540005378425
ALGN,200,9893,33.47837356856484,0.29550420003943145
ALGT,200,14361,40.86082878241745,0.3514612999279052
ALIM,200,8538,30.83879128667967,0.2768590999767184
ALJJ,200,8231,24.684456716318877,0.33344869990833104
ALK,200,14236,41.27256096654843,0.34492649999447167
ALKS,200,9463,33.16186445582411,0.28535789996385574
ALL,200,14878,39.93094883808789,0.37259319983422756
ALLT,200,8699,31.1045160282723,0.27967000007629395
ALNY,200,9611,29.47231942984367,0.32610260020010173
ALOT,200,13586,42.224004768256634,0.32176010007970035
ALRN,200,8587,26.450202337010982,0.32464780006557703
ALRS,200,13907,38.21314068106539,0.3639324000105262
ALSK,200,13601,44.74756497843314,0.30394949996843934
ALT,200,12207,36.514090401056585,0.334309299942106
ALTO,200,8976,26.771294217251434,0.33528450015001
ALV,200,14340,34.07949363251328,0.42078089993447065
ALX,200,14584,36.42950851093335,0.40033479989506304
ALXN,200,10177,30.942799164524047,0.32889719982631505
AMAT,200,15025,35.57886276064246,0.42230130010284483
AMD,200,9229,28.464010565410167,0.32423399994149804
AME,200,14819,36.250177363041544,0.40879799984395504
AMED,200,9567,28.082013468163023,0.34068069979548454
AMEH,200,8087,23.612623334289967,0.34248630004003644
AMG,200,15013,38.01421615082566,0.3949311999604106
