symbol,status (HTTP code),size (kB),speed (kB/s),time
AMGN,200,15202,41.08240043547585,0.3700368001591414
AMKR,200,14397,34.81180539655189,0.41356660006567836
AMN,200,9091,32.67949185774032,0.27818670007400215
AMNB,200,14277,42.08986484478851,0.339202799834311
AMOT,200,14258,47.54964898010825,0.2998550001066178
AMP,200,15103,42.509379061748845,0.3552862999495119
AMPE,200,8625,28.225938423921132,0.3055699998512864
AMPG,200,8663,25.745514364685885,0.33648580010049045
AMRB,200,13977,37.32559956354807,0.3744614999741316
AMRC,200,8653,24.613572875654015,0.35155400005169213
AMRN,200,8815,27.343176862335245,0.32238390017300844
AMRS,200,8698,30.54132013440631,0.2847945000976324
AMRX,200,9251,29.238472269079,0.3163982001133263
AMS,200,8147,22.15364301426684,0.36774989985860884
AMSC,200,8452,25.24786340063634,0.33476100000552833
AMSF,200,14531,39.75770537792157,0.36548889987170696
AMSWA,200,14234,37.940416955066624,0.3751672001089901
AMT,200,15092,35.76494007673653,0.4219774999655783
AMWD,200,9413,32.70557029972206,0.2878103000111878
AMX,200,14663,41.30730884045754,0.35497350012883544
AMZN,200,10739,31.589521530864197,0.33995450008660555
AN,200,9467,28.6156027310949,0.3308334997855127
ANAT,200,14624,39.78708035192452,0.36755650001578033
ANDE,200,14556,40.96749252515458,0.35530610010027885
ANF,200,14271,49.00398734323062,0.29122120002284646
ANGO,200,9199,33.04047431662061,0.2784160999581218
ANIK,200,9133,32.12059589330088,0.284334700088948
ANIP,200,10295,37.70004461260518,0.27307659992948174
ANIX,200,8364,26.48354055136166,0.3158188001252711
ANSS,200,9741,30.124682961686005,0.3233561001252383
ANTE,200,8535,29.483769746851227,0.28948130016215146
ANTM,200,15114,34.496398005579884,0.43813270004466176
ANY,200,8427,27.41761052356585,0.30735719995573163
AON,200,14993,41.862161163312365,0.35815159999765456
AOS,200,14679,34.43247982578906,0.42631260002963245
AOSL,200,8721,24.21334395574178,0.36017330014146864
AP,200,11955,37.50911843372969,0.318722500000149
APA,200,14812,36.60350509831628,0.4046607001218945
APD,200,15185,34.32087497774203,0.44244210002943873
APDN,200,10507,32.37549286710848,0.3245355999097228
APEI,200,9185,30.640167671113456,0.29976990004070103
APEN,200,9600,27.936683849046037,0.3436341998167336
APH,200,14893,35.77497388953478,0.416296600131318
APOG,200,14481,53.156948647771515,0.2724196999333799
APPS,200,8408,29.12025858119754,0.288733699824661
APT,200,8235,23.563647595472823,0.34947900008410215
APWC,200,12337,30.140070576868546,0.40932220011018217
AQN,200,14283,35.17058583049422,0.40610640007071197
ARAY,200,8427,25.01545841520338,0.33687169989570975
ARC,200,14001,38.69056173379235,0.36187119991518557
ARCB,200,14459,33.65835523071268,0.4295813001226634
ARCC,200,14804,38.185886640776886,0.38768250006251037
ARE,200,14944,41.018546733873166,0.3643229999579489
ARGO,200,14509,36.59055425821188,0.3965230998583138
ARI,200,14655,34.85518036178408,0.42045399989001453
ARKR,200,13698,45.453308660949084,0.301364199956879
ARL,200,8219,30.723258171214606,0.26751719997264445
ARLP,200,13859,47.61526837986846,0.29106209985911846
ARNA,200,8840,29.138326287497346,0.30338050005957484
AROW,200,14248,39.75947857854325,0.35835480014793575
ARR,200,14545,34.641410777587076,0.41987320012412965
ARTNA,200,14264,43.69575939582457,0.3264389999676496
ARTW,200,10386,27.14693691200445,0.3825846000108868
ARW,200,9457,31.72738270481766,0.29807060002349317
ARWR,200,8796,27.711670098919438,0.3174113999120891
ASB,200,14730,35.08667456280893,0.41981750004924834
ASGN,200,9237,26.444892583999675,0.34929240006022155
ASH,200,14859,34.77204756513317,0.4273260000627488
ASM,200,8539,25.227278909056526,0.33848279993981123
ASMB,200,8810,25.912953655832737,0.33998439996503294
ASML,200,14898,31.41295019393598,0.4742630000691861
ASPS,200,10355,32.278517325946424,0.3208015998825431
ASR,200,14055,35.36519882493301,0.39742460008710623
ASRT,200,8957,25.953622502289182,0.3451155999209732
ASRV,200,13735,42.295036148894226,0.3247425998561084
ASTC,200,8296,24.47370184377293,0.3389760998543352
ASTE,200,14539,35.94406381874624,0.4044896000996232
ASUR,200,9119,32.128658401271075,0.2838275998365134
ASX,200,13942,44.143638117501034,0.31583259999752045
ASXC,200,8648,26.27098976185242,0.32918439991772175
ASYS,200,8369,24.963489889273657,0.3352496000006795
AT,200,11181,35.5400072275018,0.31460319994948804
ATAX,200,14022,33.17755670845167,0.42263510008342564
ATEC,200,8489,23.936356185553954,0.3546488001011312
ATGE,200,12401,31.00094994791775,0.4000200000591576
ATHE,200,9990,27.74216283422674,0.3601017000619322
ATHX,200,8409,25.040319417587543,0.3358183999080211
ATI,200,12356,34.52450706414559,0.3578906999900937
ATLC,200,8097,22.272768649638444,0.36353810015134513
ATLO,200,14140,35.33553010130968,0.40016379998996854
ATNI,200,14493,34.902530343878645,0.4152421001344919
ATO,200,14707,35.960325548254104,0.40897849993780255
ATR,200,14605,37.86948680242866,0.3856666998472065
ATRC,200,9083,28.76106403339789,0.3158089001663029
ATRI,200,14573,35.10996046713631,0.4150673998519778
ATRO,200,13216,43.09137583234269,0.3066970999352634
ATRS,200,8463,28.518676638491353,0.29675290011800826
ATSG,200,8853,32.160111066791146,0.2752789000514895
ATVI,200,15113,35.012065302437804,0.4316511999350041
AU,200,14695,37.1176121840658,0.3959037000313401
AUB,200,14501,35.34374171399409,0.4102847999893129
AUBN,200,14058,37.4550595286283,0.37532979995012283
AUD,200,13706,38.870415400721924,0.3526075000409037
AUDC,200,14160,33.28570843280419,0.42540780012495816
AUMN,200,8943,26.971810348726233,0.33156839990988374
AUTO,200,8562,27.306327433715527,0.31355369999073446
AUY,200,14673,37.92631238711072,0.38688179990276694
AVA,200,14564,35.488903257785005,0.4103818000294268
AVAV,200,9281,27.78893107595035,0.33398190001025796
AVB,200,15307,37.60343277546537,0.4070639000274241
AVD,200,14489,35.127445788833356,0.41246949997730553
AVDL,200,8553,31.883532840386486,0.2682576000224799
AVEO,200,8564,24.683899655075955,0.34694680012762547
AVGO,200,15111,36.75480669056316,0.41112990002147853
AVID,200,8519,27.489903054821013,0.3098955999594182
AVNT,200,14719,38.64290140884674,0.38089790008962154
AVNW,200,8629,24.91319071110929,0.3463626999873668
AVT,200,14796,38.18133399605928,0.3875191998668015
AVXL,200,8357,29.95191280573965,0.27901389985345304
AVY,200,14951,37.4469828695849,0.39925780007615685
AWH,200,8319,30.24347467419184,0.27506760018877685
AWI,200,14655,36.434215283339896,0.4022318001370877
AWK,200,14854,36.65463189522002,0.40524209989234805
AWR,200,14478,52.264506466572456,0.27701400010846555
AWRE,200,9796,34.89890328126229,0.2806964998599142
AWX,200,8173,29.362978230669363,0.27834369987249374
AXAS,200,8415,29.46252166902343,0.2856171000748873
AXDX,200,8817,32.78976282796708,0.2688949001021683
AXGN,200,8427,31.343135351928705,0.2688627000898123
AXL,200,9287,28.817978798052128,0.32226409995928407
AXON,200,9261,30.817722885124894,0.30050889984704554
AXP,200,15031,40.11643935537784,0.3746843000408262
AXR,200,8087,26.150947264734953,0.3092430999968201
AXS,200,14730,46.019098063719774,0.32008450012654066
AXTI,200,8287,27.059883420947617,0.30624669999815524
AYI,200,14914,35.71249834252338,0.4176129000261426
AZN,200,14832,35.17289904643168,0.42168829985894263
AZO,200,10379,37.29703408600562,0.2782795000821352
AZPN,200,9621,27.02144780420782,0.3560504999477416
AZZ,200,14454,37.98428385805578,0.38052579993382096
B,200,14525,43.810252299057886,0.33154339995235205
BA,200,14745,36.872805950471665,0.39988819998688996
BAC,200,15202,34.227144687986204,0.4441503998823464
BAH,200,14689,37.10400336050117,0.3958872000221163
BAK,200,13776,38.27870319871663,0.35988679993897676
BAM,200,14724,42.15494089581321,0.34928289987146854
BANC,200,14501,36.88365307686888,0.3931551999412477
BANF,200,14346,36.75620001635261,0.39030149998143315
BANR,200,14493,37.65883790858281,0.38484989991411567
BAP,200,14349,34.90707501814033,0.41106280009262264
BAX,200,14843,41.32560443610765,0.35917200008407235
BB,200,9083,27.679187150933533,0.32815270009450614
BBAR,200,13336,39.523875985429655,0.3374163000844419
BBBY,200,14318,42.085238631324,0.34021429996937513
BBD,200,14862,36.64600530301108,0.4055558000691235
BBGI,200,13259,36.5557779593831,0.36270599998533726
BBI,200,10257,38.89296302268287,0.2637237999588251
BBL,200,14777,36.854105428639585,0.40095939999446273
BBQ,200,8423,25.353803403917848,0.3322183999698609
BBSI,200,14447,34.87732340961599,0.4142233000602573
BBVA,200,13909,42.20123638415121,0.329587500076741
BBW,200,8447,24.911892647257783,0.339075000025332
BBY,200,14941,43.94022761914711,0.34003010019659996
BC,200,14754,35.77929457293064,0.41236139996908605
BCBP,200,14153,41.48543230118647,0.3411559001542628
BCDA,200,8099,26.65165216190288,0.3038835998158902
BCE,200,14803,38.93842742598575,0.380164299858734
BCH,200,14471,31.579556109263308,0.45823949994519353
BCLI,200,10974,31.88874102320379,0.3441339998971671
BCML,200,8369,23.41551473275488,0.3574125999584794
BCO,200,14520,35.7061618814225,0.40665250015445054
BCOR,200,9103,29.198864372529282,0.31175870005972683
BCPC,200,14526,38.19919435344217,0.38026980007998645
BCRX,200,8687,29.677696168443557,0.2927114001940936
BCS,200,14651,40.11157099273389,0.3652562000788748
BDC,200,14567,38.13346792443965,0.382000399986282
BDL,200,13365,47.201080146745035,0.2831502999179065
BDN,200,14838,39.18772234215195,0.3786390000022948
BDR,200,8499,26.34896207259024,0.32255539996549487
BDSI,200,8469,29.17506797965067,0.29028209997341037
BDX,200,15175,43.422338404922215,0.3494744999334216
BECN,200,9421,29.535655981545535,0.31897039990872145
BEEM,200,8382,26.398919100437215,0.3175129999872297
BELFB,200,14358,41.04215868330735,0.34983540000393987
BEN,200,14957,41.79496185448069,0.3578661000356078
BEP,200,14421,41.09304480027567,0.35093529988080263
BF-B,200,14757,38.875664278389976,0.37959479982964694
BFC,200,13869,43.589233465829686,0.31817490002140403
BFIN,200,14101,47.57022774550133,0.29642489994876087
BFS,200,14426,40.19866938547705,0.35886759986169636
BG,200,14735,41.12574291259717,0.3582913998980075
BGCP,200,14443,30.49162172650624,0.4736710998695344
BGFV,200,14348,35.09290277566439,0.40885759983211756
BGI,200,8319,24.771882213554612,0.3358242998365313
BGS,200,14661,36.87018156556452,0.39763839985243976
BH,200,10956,35.7105722632314,0.3067999000195414
BHB,200,14241,44.72351408494871,0.31842310004867613
BHC,200,9721,28.575678359739914,0.34018440009094775
BHE,200,14540,37.94371180195314,0.3831991998013109
BHLB,200,14499,36.0348672718119,0.40236029983498156
BHP,200,14520,36.26935240452379,0.4003379999194294
BIDU,200,10407,27.315720596898824,0.38098939997144043
BIG,200,14763,39.102312810549925,0.3775480000767857
BIIB,200,10401,35.798081048060915,0.29054630012251437
BIMI,200,8465,25.72170421949549,0.3290995000861585
BIO,200,10123,31.603383942141367,0.3203137998934835
BIOC,200,11078,31.984072062285446,0.3463598999660462
BIOL,200,10245,28.828028779909094,0.3553832999896258
BIP,200,14536,40.398358485522195,0.35981660010293126
BJRI,200,14074,42.79821377922047,0.3288454997818917
BK,200,14931,37.22259741554389,0.4011272999923676
BKCC,200,14196,38.20987439720062,0.37152699986472726
BKD,200,9157,30.92297151181508,0.2961228999774903
BKE,200,14643,38.11480721767686,0.38418140006251633
BKEP,200,13956,50.760350494719454,0.27493899990804493
BKH,200,14569,41.67021807375922,0.34962620004080236
BKNG,200,11021,30.57868094538281,0.36041449988260865
BKSC,200,14162,37.254137014284844,0.3801457001827657
BKTI,200,13899,39.07227314705698,0.35572540014982224
BKU,200,14760,32.07605066524507,0.46015639998950064
BKYI,200,8612,28.8533281374033,0.29847509996034205
BLDP,200,8585,28.589611364785373,0.3002838999964297
BLDR,200,8967,25.15369363072062,0.3564884001389146
BLFS,200,8616,23.52267962012059,0.3662847999949008
BLIN,200,8708,23.631179924929913,0.3684961998369545
BLK,200,15262,40.41751166966853,0.3776086000725627
BLKB,200,14014,35.223144431627254,0.39786339993588626
BLL,200,14751,38.824040328256636,0.37994499993510544
BLU,200,13431,44.79764015626711,0.29981489991769195
BLX,200,14498,37.137316875124235,0.3903890000656247
BMA,200,13655,50.12648170476036,0.272410900099203
BMI,200,14490,40.71113274991091,0.35592229990288615
BMRA,200,8017,27.335670590593153,0.29327979986555874
BMRC,200,14213,41.13592222130283,0.3455130998045206
BMRN,200,9571,28.29535489790845,0.3382534000556916
BMTC,200,14297,41.45944676985459,0.3448429999407381
BMY,200,15034,38.575819944270336,0.3897259999066591
BNS,200,14767,36.994828445408274,0.39916389994323254
BNSO,200,8079,24.504191251565008,0.32969869999215007
BOCH,200,13969,39.9578481717501,0.3495934000238776
BOH,200,14505,40.29970421639134,0.35992820002138615
BOKF,200,14522,44.38919315846106,0.3271516999229789
BOOM,200,13966,37.65877098036336,0.37085649999789894
BOSC,200,8275,27.591408411825544,0.29991220007650554
BOTJ,200,13842,45.168353411063045,0.3064535001758486
BP,200,14982,36.176495507678574,0.4141363000962883
BPFH,200,14418,40.70787316217985,0.3541820999234915
BPOP,200,14730,35.883174324491854,0.41049879998899996
BPT,200,13853,44.07695791054245,0.3142912001349032
BPTH,200,8441,23.194881242987943,0.36391650000587106
BR,200,14918,36.13262256662176,0.4128678999841213
BRBS,200,13504,32.183031465703685,0.4195999999064952
BRC,200,14571,38.03956940830296,0.3830484999343753
BRFS,200,12077,25.35562860015723,0.47630449989810586
BRID,200,9513,23.975520928136245,0.39677969994954765
BRK-A,200,11809,30.579052126469936,0.3861793999094516
BRKL,200,14313,37.938980093058554,0.3772636998910457
BRKR,200,14793,48.04300974909793,0.30791159998625517
BRKS,200,14537,36.43055264613221,0.39903319999575615
BRN,200,8161,27.494324097764107,0.29682489996775985
BRO,200,14755,41.631421270853856,0.3544197999872267
BRT,200,13987,47.40570123270006,0.29504889994859695
BSAC,200,14445,35.18467141722737,0.4105481000151485
BSBR,200,14453,42.448209990121356,0.34048549993894994
BSET,200,14232,46.41992223408427,0.3065924998372793
BSQR,200,8175,28.9293691746168,0.28258479991927743
BSRR,200,14203,48.022093610853396,0.29575970000587404
BSX,200,9503,33.35630097335561,0.2848936999216676
BTG,200,14378,34.89727050597201,0.412009300198406
BTI,200,14942,52.024759639681406,0.2872093999758363
BTN,200,8085,20.893308451815358,0.386966000078246
BTU,200,13654,34.39220208793389,0.39700859994627535
BTX,200,8269,23.09581705647813,0.35803020000457764
BUD,200,14654,33.6839104929912,0.43504450004547834
BUSE,200,14205,46.33794833498586,0.3065521998796612
BVN,200,14026,47.652342421692374,0.29434020002372563
BWA,200,14797,37.80710127250507,0.3913814998231828
BWEN,200,8390,28.688556826071608,0.2924510999582708
BWFG,200,13926,48.67440364981059,0.2861052001826465
BWL-A,200,13210,34.93203588284034,0.3781629002187401
BWXT,200,15331,35.25691367982755,0.4348367000930011
BX,200,14814,36.12464099998006,0.4100801998283714
BXC,200,8486,22.83590387411959,0.37160780001431704
BXMT,200,14505,32.07312452407138,0.45224779983982444
BXP,200,15207,37.10103939497646,0.4098807000555098
BXS,200,14702,38.65176786411189,0.3803707000333816
BYD,200,14058,42.51589583779383,0.3306527999229729
BYFC,200,8007,22.7259116536923,0.3523291000165045
BZH,200,10111,30.764708867421277,0.3286557998508215
C,200,14950,40.256434829756515,0.37136920006014407
CAAS,200,10146,35.72781782667403,0.2839804000686854
CAC,200,14373,34.716644975513674,0.41400890005752444
CACC,200,9935,24.203955422667736,0.4104700998868793
CACI,200,9629,26.67902027058915,0.3609203000087291
CAE,200,13891,46.98651731163109,0.29563799989409745
CAG,200,14799,42.38627965193333,0.34914600010961294
CAH,200,14841,39.47312777911863,0.37597729987464845
CAJ,200,14506,37.554227232058714,0.38626810000278056
CAKE,200,14291,39.88622753934464,0.35829410003498197
CAL,200,14817,28.358763135155638,0.5224840000737458
CALM,200,13638,35.311434800790884,0.3862204998731613
CALX,200,8481,20.317568307980917,0.417422000085935
CAMP,200,9007,24.253185268261397,0.37137389997951686
CAMT,200,13282,39.6355037603138,0.3351036000531167
CAPR,200,8251,23.304111156820095,0.3540577001404017
CAR,200,9491,33.94904960038508,0.27956599998287857
CARV,200,7976,26.64449411266362,0.2993488998617977
CASH,200,14405,53.08207694280587,0.2713721999898553
CASI,200,8237,24.58713492733404,0.3350126000586897
CASS,200,14340,37.36714340065154,0.3837595998775214
CASY,200,14794,35.27572363109152,0.41938189999200404
CAT,200,15125,55.88198020608726,0.2706597000360489
CATM,200,9307,29.105749543407033,0.31976499990560114
CATO,200,13954,38.79334193382076,0.359700899804011
CATY,200,14541,36.162367315775974,0.40210309997200966
CB,200,16034,54.62163257743088,0.2935467001516372
CBAN,200,13759,46.578058121831035,0.2953965999186039
CBAT,200,8170,29.50476771338435,0.276904399972409
CBB,200,8805,31.00639247874909,0.28397370013408363
CBD,200,14259,38.523688180997,0.37013590009883046
CBFV,200,13949,33.54820957854681,0.4157897001132369
CBIO,200,10963,30.301179297427264,0.3618010999634862
CBLI,200,8182,23.48489829014506,0.3483940998557955
CBOE,200,14839,32.5814932585505,0.4554425999522209
CBPO,200,9391,22.615417258806307,0.41524769994430244
CBRE,200,9447,33.28112349984361,0.2838546000421047
CBRL,200,14640,37.18967009688785,0.39365770015865564
CBSH,200,14678,39.064329722345065,0.37573920004069805
CBT,200,14546,39.00235904194234,0.37295179977081716
CBU,200,14525,51.19729413202402,0.2837063998449594
CBZ,200,8717,26.42863011061714,0.3298317000735551
CCBG,200,14284,48.744947287139254,0.2930354999843985
CCEP,200,14636,39.39345489997712,0.37153380014933646
CCF,200,14237,42.789797419164586,0.3327194999437779
CCI,200,14987,36.7256510443185,0.4080798998475075
CCJ,200,14551,36.29738260279167,0.4008828999940306
CCK,200,14785,35.302505587936174,0.4188087999355048
CCL,200,14319,35.68702188957657,0.40123830013908446
CCM,200,10627,27.386521299910907,0.38803760008886456
CCMP,200,14729,39.484431806174214,0.3730331000406295
CCNE,200,14303,40.205008155874815,0.35575170000083745
CCO,200,12364,32.85951388467166,0.37626849999651313
CCOI,200,14553,37.80588199277123,0.3849401001352817
CCRN,200,8717,27.9501751417081,0.3118763999082148
CCU,200,14911,40.16710118716457,0.3712241998873651
CCZ,200,13821,41.46829132667864,0.3332908002194017
CDE,200,8887,22.697877877611518,0.3915344001725316
CDNS,200,9555,24.967095947678956,0.3827037001028657
CDOR,200,13200,34.1804208164433,0.3861860001925379
CDR,200,14043,41.60331712387648,0.3375452000182122
CDXC,200,8664,27.44638388854843,0.31566999992355704
CDXS,200,8557,27.784903223107154,0.3079729999881238
CDZI,200,8591,23.19565430286291,0.37037110002711415
CE,200,14922,34.77035418920576,0.42915869993157685
CEA,200,13947,31.764931764412417,0.4390690999571234
CECE,200,12191,33.786592664808865,0.36082360008731484
CEI,200,10211,29.143451941931634,0.3503703000023961
CELH,200,8119,23.744980260401505,0.34192489995621145
CEMI,200,8159,24.456627622116056,0.3336110000964254
CENTA,200,8923,31.964824712755373,0.27915060007944703
CENX,200,8983,22.586235904166674,0.39772009989246726
CEQP,200,14471,41.91351061699497,0.34525860007852316
CERN,200,14880,37.19429997126146,0.4000613000243902
CERS,200,8475,22.46586382653362,0.377238999819383
CEVA,200,9149,30.411201048216842,0.3008431000635028
CF,200,14993,57.240571555816466,0.26192959980107844
CFBK,200,13739,44.91617488930236,0.3058809000067413
CFFI,200,14179,39.66683105486723,0.35745230014435947
CFFN,200,14679,35.74363637952964,0.4106745000462979
CFR,200,14653,31.465698563781757,0.4656817000359297
CFX,200,9457,23.77898543142397,0.397704100003466
CGA,200,9958,24.12387433630985,0.41278609982691705
CGEN,200,8371,29.811168621502233,0.28080080007202923
CGNX,200,14718,37.14349888123926,0.3962469999678433
CHCI,200,9798,29.744792237562436,0.3294021999463439
CHCO,200,14529,35.15858386737861,0.4132419000379741
CHD,200,14757,30.782381900945477,0.47939759981818497
CHDN,200,14649,41.75405213309935,0.35084019997157156
CHE,200,14845,42.628463310817985,0.34824149985797703
CHH,200,14087,41.99381019224194,0.33545419992879033
CHKP,200,9847,31.597741218244657,0.31163619994185865
CHMG,200,14135,43.798357150429204,0.32272899989038706
CHNR,200,8295,27.37692430435734,0.302992400014773
CHRW,200,14822,42.958844769002624,0.34502790006808937
CHS,200,14051,42.03137380251481,0.33429790008813143
CHT,200,14160,52.245505206638,0.2710280998144299
CHTR,200,10215,29.91814465548235,0.3414316000416875
CI,200,15107,38.66964346032446,0.3906681998632848
CIA,200,8257,22.999775762975144,0.35900350008159876
CIB,200,14576,38.03204021966664,0.3832557999994606
CIDM,200,8392,22.718093156194968,0.36939719994552433
CIEN,200,9551,26.61623023397937,0.358841200126335
CIG,200,14430,36.536316669874694,0.3949494999833405
CIGI,200,15048,36.08882340828699,0.4169711999129504
CIM,200,14614,38.5375050891892,0.3792150001972914
CINF,200,14834,35.89612916846496,0.4132479000836611
CIR,200,12784,29.8494359405821,0.42828279989771545
